,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue Hill Observatory Monthly ""2828"" MEAN Temperature, degrees F:",,,,,,,,"MEAN = Derived from daily averages of four hourly temperatures at 2AM, 8AM, 2PM, and 8PM LST and are thereby corrected to the near equivalent of 24 hourly values.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,26.8,31.9,28.8,45.9,57.4,65.8,69.0,68.0,60.3,51.0,44.2,26.1,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,21.0,29.3,34.5,41.8,53.7,66.1,69.4,69.0,66.1,53.8,41.5,29.5,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,25.9,24.3,35.3,46.7,54.7,64.8,66.4,66.3,59.2,50.7,38.8,26.6,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,25.8,22.7,35.5,45.3,56.2,65.8,71.2,66.7,57.1,56.5,44.3,22.6,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,29.1,26.0,35.7,43.3,59.3,65.1,69.2,64.7,60.1,51.1,42.6,30.6,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,22.5,25.7,32.8,42.4,58.8,65.3,69.7,69.0,61.1,50.5,38.7,32.0,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,24.9,26.8,36.6,41.9,53.9,66.0,71.7,69.0,59.5,50.7,44.4,30.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,32.1,23.4,30.6,42.1,49.8,65.4,70.1,68.2,60.6,52.0,36.8,31.9,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,22.4,22.9,36.5,48.3,53.6,62.3,72.1,68.1,62.5,54.9,39.5,27.5,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,26.7,26.6,32.3,48.2,56.0,66.2,68.3,71.5,61.0,51.0,41.2,28.4,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
