Year,Month,Avg_Temp
1960,January,26.8
1960,February,31.9
1960,March,28.8
1960,April,45.9
1960,May,57.4
1960,June,65.8
1960,July,69
1960,August,68
1960,September,60.3
1960,October,51
1960,November,44.2
1960,December,26.1
1961,January,21
1961,February,29.3
1961,March,34.5
1961,April,41.8
1961,May,53.7
1961,June,66.1
1961,July,69.4
1961,August,69
1961,September,66.1
1961,October,53.8
1961,November,41.5
1961,December,29.5
1962,January,25.9
1962,February,24.3
1962,March,35.3
1962,April,46.7
1962,May,54.7
1962,June,64.8
1962,July,66.4
1962,August,66.3
1962,September,59.2
1962,October,50.7
1962,November,38.8
1962,December,26.6
1963,January,25.8
1963,February,22.7
1963,March,35.5
1963,April,45.3
1963,May,56.2
1963,June,65.8
1963,July,71.2
1963,August,66.7
1963,September,57.1
1963,October,56.5
1963,November,44.3
1963,December,22.6
1964,January,29.1
1964,February,26
1964,March,35.7
1964,April,43.3
1964,May,59.3
1964,June,65.1
1964,July,69.2
1964,August,64.7
1964,September,60.1
1964,October,51.1
1964,November,42.6
1964,December,30.6
1965,January,22.5
1965,February,25.7
1965,March,32.8
1965,April,42.4
1965,May,58.8
1965,June,65.3
1965,July,69.7
1965,August,69
1965,September,61.1
1965,October,50.5
1965,November,38.7
1965,December,32
1966,January,24.9
1966,February,26.8
1966,March,36.6
1966,April,41.9
1966,May,53.9
1966,June,66
1966,July,71.7
1966,August,69
1966,September,59.5
1966,October,50.7
1966,November,44.4
1966,December,30
1967,January,32.1
1967,February,23.4
1967,March,30.6
1967,April,42.1
1967,May,49.8
1967,June,65.4
1967,July,70.1
1967,August,68.2
1967,September,60.6
1967,October,52
1967,November,36.8
1967,December,31.9
1968,January,22.4
1968,February,22.9
1968,March,36.5
1968,April,48.3
1968,May,53.6
1968,June,62.3
1968,July,72.1
1968,August,68.1
1968,September,62.5
1968,October,54.9
1968,November,39.5
1968,December,27.5
1969,January,26.7
1969,February,26.6
1969,March,32.3
1969,April,48.2
1969,May,56
1969,June,66.2
1969,July,68.3
1969,August,71.5
1969,September,61
1969,October,51
1969,November,41.2
1969,December,28.4
1970,January,18.2
