Kingdom,Genus,Species,Scientific_name,Phenophase,year,DOY,Longitude,Latitude,TSN
Plantae,Acalypha,rhomboidea,Acalypha rhomboidea,FirstFlower,2005,199,-71.3333333,42.4500000,28193
Plantae,Acer,campestre,Acer campestre,FirstFlower,2005,143,-71.3333333,42.4500000,28739
Plantae,Acer,campestre,Acer campestre,FirstFlower,2006,104,-71.3333333,42.4500000,28739
Plantae,Acer,negundo,Acer negundo,FirstFlower,1888,134,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1891,144,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1892,151,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1893,134,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1894,130,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1895,125,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1896,123,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1897,115,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1898,121,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1899,127,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1900,126,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1901,126,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1902,124,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,1903,123,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,2004,120,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,2005,107,-71.3333333,42.4500000,28749
Plantae,Acer,negundo,Acer negundo,FirstFlower,2006,117,-71.3333333,42.4500000,28749
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1888,148,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1889,132,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1890,132,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1891,144,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1892,143,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1893,141,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1894,130,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1895,132,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1899,127,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1900,138,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1901,139,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,1902,136,-71.3333333,42.4500000,28754
Plantae,Acer,pensylvanicum,Acer pensylvanicum,FirstFlower,2005,143,-71.3333333,42.4500000,28754
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1852,162,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1853,151,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1854,150,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1856,157,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1878,206,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1888,162,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1889,181,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1890,204,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1891,150,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1892,151,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1893,155,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1894,144,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1895,153,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1896,151,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1897,150,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1898,157,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1899,155,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1900,155,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1901,160,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,1902,148,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,2004,154,-71.3333333,42.4500000,35423
Plantae,Achillea,millefolium,Achillea millefolium,FirstFlower,2005,157,-71.3333333,42.4500000,35423
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1853,156,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1854,150,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1858,159,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1890,140,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1891,152,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1892,150,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1893,155,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1894,154,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1895,153,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1896,145,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1897,143,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1898,156,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1899,134,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1900,155,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1901,160,-71.3333333,42.4500000,42523
Plantae,Acorus,calamus,Acorus calamus,FirstFlower,1902,152,-71.3333333,42.4500000,42523
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1857,159,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1888,155,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1889,173,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1890,176,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1891,151,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1892,143,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1893,148,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1894,130,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1895,139,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1896,138,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1897,137,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1898,139,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1899,132,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1900,143,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1901,142,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,1902,136,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,2004,134,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,2005,137,-71.3333333,42.4500000,18722
Plantae,Actaea,pachypoda,Actaea pachypoda,FirstFlower,2006,137,-71.3333333,42.4500000,18722
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1852,151,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1853,146,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1854,147,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1858,141,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1889,161,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1890,176,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1891,151,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1892,143,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1893,148,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1894,130,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1895,139,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1896,137,-71.3333333,42.4500000,18723
Plantae,Actaea,rubra,Actaea rubra,FirstFlower,1897,137,-71.3333333,42.4500000,18723
