Scientific_name,Year_pennie,DOY_pennie,DOY_benchmark,FFD
Sanguinaria canadensis,1963,105,105,0
Sanguinaria canadensis,1964,106,105,-1
Sanguinaria canadensis,1966,107,105,-2
Sanguinaria canadensis,1967,119,105,-14
Sanguinaria canadensis,1968,103,105,2
Sanguinaria canadensis,1969,106,105,-1
Sanguinaria canadensis,1970,105,105,0
Sanguinaria canadensis,1973,106,105,-1
Sanguinaria canadensis,1974,107,105,-2
Sanguinaria canadensis,1977,102,105,3
Sanguinaria canadensis,1987,118,105,-13
Sanguinaria canadensis,1988,119,105,-14
Houstonia caerulea,1963,114,116,2
Houstonia caerulea,1964,117,116,-1
Houstonia caerulea,1966,114,116,2
Houstonia caerulea,1967,123,116,-7
Houstonia caerulea,1968,105,116,11
Houstonia caerulea,1969,114,116,2
Houstonia caerulea,1970,116,116,0
Houstonia caerulea,1973,107,116,9
Houstonia caerulea,1976,133,116,-17
Houstonia caerulea,1977,121,116,-5
Houstonia caerulea,1984,131,116,-15
Houstonia caerulea,1985,116,116,0
Houstonia caerulea,1987,118,116,-2
Houstonia caerulea,1988,122,116,-6
Houstonia caerulea,1989,136,116,-20
Houstonia caerulea,1990,130,116,-14
Houstonia caerulea,1991,132,116,-16
Houstonia caerulea,1992,138,116,-22
Anemonella thalictroides,1963,116,113,-3
Anemonella thalictroides,1964,119,113,-6
Anemonella thalictroides,1966,114,113,-1
Anemonella thalictroides,1967,133,113,-20
Anemonella thalictroides,1968,100,113,13
Anemonella thalictroides,1969,110,113,3
Anemonella thalictroides,1970,113,113,0
Anemonella thalictroides,1973,157,113,-44
Anemonella thalictroides,1974,121,113,-8
Anemonella thalictroides,1976,117,113,-4
Anemonella thalictroides,1977,109,113,4
Anemone quinquefolia,1963,116,124,8
Anemone quinquefolia,1964,122,124,2
Anemone quinquefolia,1966,120,124,4
Anemone quinquefolia,1967,123,124,1
Anemone quinquefolia,1968,109,124,15
Anemone quinquefolia,1969,115,124,9
Anemone quinquefolia,1970,124,124,0
Anemone quinquefolia,1974,121,124,3
Anemone quinquefolia,1976,111,124,13
Anemone quinquefolia,1977,117,124,7
Fragaria virginiana,1963,123,126,3
Fragaria virginiana,1964,124,126,2
Fragaria virginiana,1966,125,126,1
Fragaria virginiana,1967,134,126,-8
Fragaria virginiana,1968,115,126,11
Fragaria virginiana,1969,123,126,3
Fragaria virginiana,1970,126,126,0
Fragaria virginiana,1974,125,126,1
Fragaria virginiana,1975,132,126,-6
Fragaria virginiana,1976,112,126,14
Fragaria virginiana,1977,116,126,10
Fragaria virginiana,1982,120,126,6
Fragaria virginiana,1989,128,126,-2
Fragaria virginiana,1990,124,126,2
Fragaria virginiana,1991,116,126,10
